id,name,description,price,price_type,category,excluded_products,product_families,choices,adders,rules
36,Additional Coaxial Cable,Additional coaxial cable,0.0,per_unit,Accessories,,FS10000,"[""Yes"", ""No""]","{""Yes"": 6.0, ""No"": 0}",
37,GRK Exp Proof Enclosure,"GRK explosion proof enclosure for receiver (2 each, 3/4"" conduit entries)",0.0,fixed,Accessories,,"LS8000/2,FS10000","[""Yes"", ""No""]","{""Yes"": 1030, ""No"": 0}",
38,Material,Probe material selection (including exotic metals),0.0,fixed,Material,,LS2000,"[""S"", ""H"", ""TS"", ""U"", ""T"", ""C"", ""A"", ""HC"", ""HB"", ""TT""]","{""S"": 0, ""H"": 110, ""TS"": 110, ""U"": 20, ""T"": 60, ""C"": 80, ""A"": 0, ""HC"": 0, ""HB"": 0, ""TT"": 0}",
39,Material,Probe material selection (including exotic metals),0.0,fixed,Material,,LS2100,"[""S"", ""H"", ""TS"", ""U"", ""T"", ""C"", ""A"", ""HC"", ""HB"", ""TT""]","{""S"": 0, ""H"": 110, ""TS"": 110, ""U"": 20, ""T"": 60, ""C"": 80, ""A"": 0, ""HC"": 0, ""HB"": 0, ""TT"": 0}",
40,Material,Probe material selection (including exotic metals),0.0,fixed,Material,,LS6000,"[""S"", ""H"", ""TS"", ""U"", ""T"", ""C"", ""CPVC"", ""A"", ""HC"", ""HB"", ""TT""]","{""S"": 0, ""H"": 110, ""TS"": 110, ""U"": 20, ""T"": 60, ""C"": 80, ""CPVC"": 400, ""A"": 0, ""HC"": 0, ""HB"": 0, ""TT"": 0}",
41,Material,Probe material selection (including exotic metals),0.0,fixed,Material,,LS7000,"[""S"", ""H"", ""TS"", ""U"", ""T"", ""C"", ""CPVC"", ""A"", ""HC"", ""HB"", ""TT""]","{""S"": 0, ""H"": 110, ""TS"": 110, ""U"": 20, ""T"": 60, ""C"": 80, ""CPVC"": 400, ""A"": 0, ""HC"": 0, ""HB"": 0, ""TT"": 0}",
42,Material,Probe material selection (including exotic metals),0.0,fixed,Material,,LS7000/2,"[""H"", ""TS"", ""A"", ""HC"", ""HB"", ""TT""]","{""H"": 0, ""TS"": 0, ""A"": 0, ""HC"": 0, ""HB"": 0, ""TT"": 0}",
43,Material,Probe material selection (including exotic metals),0.0,fixed,Material,,LS8000,"[""S"", ""H"", ""TS"", ""U"", ""T"", ""C"", ""A"", ""HC"", ""HB"", ""TT""]","{""S"": 0, ""H"": 110, ""TS"": 110, ""U"": 20, ""T"": 60, ""C"": 80, ""A"": 0, ""HC"": 0, ""HB"": 0, ""TT"": 0}",
44,Material,Probe material selection (including exotic metals),0.0,fixed,Material,,LS8000/2,"[""H"", ""TS"", ""A"", ""HC"", ""HB"", ""TT""]","{""H"": 0, ""TS"": 0, ""A"": 0, ""HC"": 0, ""HB"": 0, ""TT"": 0}",
45,Material,Probe material selection (including exotic metals),0.0,fixed,Material,,LT9000,"[""H"", ""TS"", ""A"", ""HC"", ""HB"", ""TT""]","{""H"": 0, ""TS"": 0, ""A"": 0, ""HC"": 0, ""HB"": 0, ""TT"": 0}",
46,Material,Probe material selection (including exotic metals),0.0,fixed,Material,,FS10000,"[""S"", ""A"", ""HC"", ""HB"", ""TT""]","{""S"": 0, ""A"": 0, ""HC"": 0, ""HB"": 0, ""TT"": 0}",
47,Material,Probe material selection (including exotic metals),0.0,fixed,Material,,LS7500,"[""S"", ""A"", ""HC"", ""HB"", ""TT""]","{""S"": 0, ""A"": 0, ""HC"": 0, ""HB"": 0, ""TT"": 0}",
48,Material,Probe material selection (including exotic metals),0.0,fixed,Material,,LS8500,"[""S"", ""A"", ""HC"", ""HB"", ""TT""]","{""S"": 0, ""A"": 0, ""HC"": 0, ""HB"": 0, ""TT"": 0}",
49,NPT Size,NPT connection size selection,0.0,fixed,Connections,,"LS6000,LS7000,LS7000/2,LT9000","[""1\"""", ""3/4\""""]","{""1\"""": 0, ""3/4\"""": 0}",
50,NPT Size,NPT connection size selection,0.0,fixed,Connections,,LS8000/2,"[""3/4\"""", ""1\""""]","{""3/4\"""": 0, ""1\"""": 0}",
